,Crop,Crop_Year,Area,Production
0,Apple,2002,4,0
1,Apple,2003,5,0
2,Arcanut (Processed),2002,144116,192831
3,Arecanut,1997,260686,308584
4,Arecanut,1998,264033,797811
5,Arecanut,1999,172792,162025
6,Arecanut,2000,303328,352915
7,Arecanut,2001,327572,374014
8,Arecanut,2002,189845,188610
9,Arecanut,2003,355772,420955
10,Arecanut,2004,281066.37,340328.05
11,Arecanut,2005,370899.45,1277409.46
12,Arecanut,2006,386009,530004.3
13,Arecanut,2007,357428,1318525
14,Arecanut,2008,378137,1414459
15,Arecanut,2009,383463,1459169
16,Arecanut,2010,399306.5,2479449.51
17,Arecanut,2011,411994.36,1970679.34
18,Arecanut,2012,407082,2007355
19,Arecanut,2013,411642,2622235
20,Arecanut,2014,350957,2335987
21,Arhar/Tur,1997,3325278,1693632
22,Arhar/Tur,1998,3192175,2556835
23,Arhar/Tur,1999,2964028,2505467
24,Arhar/Tur,2000,3626302,2254687
25,Arhar/Tur,2001,3304429,2246633.1
26,Arhar/Tur,2002,2963889.15,1799398.47
27,Arhar/Tur,2003,3439893.06,2325382.12
28,Arhar/Tur,2004,2912104.08,1847878.11
29,Arhar/Tur,2005,2875328.46,2089618.83
30,Arhar/Tur,2006,3297134.83,2144992
31,Arhar/Tur,2007,2287957.63,1763406
32,Arhar/Tur,2008,3113224,2064721.1
33,Arhar/Tur,2009,3221594,2231423
34,Arhar/Tur,2010,4289565,2717502.6
35,Arhar/Tur,2011,3752892,2450786
36,Arhar/Tur,2012,3220916,2625573
37,Arhar/Tur,2013,3289170,2756819
38,Arhar/Tur,2014,2715656,1293050
39,Ash Gourd,2002,744,0
40,Ash Gourd,2003,900,0
41,Atcanut (Raw),2002,144116,927250
42,Bajra,1997,9527424,7622765
43,Bajra,1998,9330295,7064138
44,Bajra,1999,8892668,5786557.7
45,Bajra,2000,9912134,6904935.2
46,Bajra,2001,9513740,8266184
47,Bajra,2002,7736866,4715038.3
48,Bajra,2003,10663550,12061108
49,Bajra,2004,9326100,8052734
50,Bajra,2005,9676568,7119289.8
51,Bajra,2006,9499237,8335264
52,Bajra,2007,8339105,8858604.2
53,Bajra,2008,8774882,8902295
54,Bajra,2009,8972422,6520225
55,Bajra,2010,9607246,12271627
56,Bajra,2011,3752948,6075554
57,Bajra,2012,3231616,4878124
58,Bajra,2013,2273701,3605409
59,Bajra,2014,2110302,2658279.8
60,Banana,1997,216302,8577683
61,Banana,1998,191319,6246379
62,Banana,1999,237692,5786745
63,Banana,2000,299425,6617109
64,Banana,2001,208732,4214875
65,Banana,2002,299715,6371622
66,Banana,2003,367239,10951296
67,Banana,2004,284571.52,7780753.52
68,Banana,2005,348902.8,9756891.13
69,Banana,2006,358134.57,11397092
70,Banana,2007,335154,10243434
71,Banana,2008,376387,11215143
72,Banana,2009,417236,12052141
73,Banana,2010,319391.14,7453608.4
74,Banana,2011,396924.4,12649783.59
75,Banana,2012,164771,4137123
76,Banana,2013,299602,8953555
77,Banana,2014,128130,1754578
78,Barley,1997,772715,1586845
79,Barley,1998,735384,1476976
80,Barley,1999,661416,1384460.6
81,Barley,2000,764003,1418351
82,Barley,2001,655028,1417982
83,Barley,2002,664523,1378805.1
84,Barley,2003,653910.82,1305483.28
85,Barley,2004,602355.57,1175090.24
86,Barley,2005,614672,1184682.7
87,Barley,2006,556516,1247945
88,Barley,2007,604089,1199132
89,Barley,2008,685198,1672582.2
90,Barley,2009,565424,1310808
91,Barley,2010,677806,1693660
92,Barley,2011,325548,780770
93,Barley,2012,347179,820879
94,Barley,2013,301480,700352.3
95,Barley,2014,220420,372621.5
96,Barley,2015,447,472
97,Bean,2013,2320,3080
98,Bean,2014,2330,3160
99,Beans & Mutter(Vegetable),2002,21543,84737
100,Beans & Mutter(Vegetable),2003,27120,126622
101,Beet Root,2002,925,0
102,Beet Root,2003,647,0
103,Ber,2002,101,0
104,Ber,2003,17,0
105,Bhindi,2002,32758,153024
106,Bhindi,2003,33997,164053
107,Bitter Gourd,2002,3334,80
108,Bitter Gourd,2003,3161,273
109,Black pepper,1997,181126,57204
110,Black pepper,1998,189416,79379
111,Black pepper,1999,205614,64398
112,Black pepper,2000,211034,79328
113,Black pepper,2001,213667,80436
114,Black pepper,2002,219583,90660
115,Black pepper,2003,231897.5,95065.23
116,Black pepper,2004,252164,103300.22
117,Black pepper,2005,257875.45,122121.05
118,Black pepper,2006,235408.26,95234
119,Black pepper,2007,198629,99750
120,Black pepper,2008,178573,115705
121,Black pepper,2009,197854,122541
122,Black pepper,2010,197783.55,63163.57
123,Black pepper,2011,115372.38,51272.34
124,Black pepper,2012,116025,128544
125,Black pepper,2013,121165,107440
126,Black pepper,2014,123368,239403
127,Blackgram,1998,25116,18601
128,Blackgram,2008,39723,23058
129,Blackgram,2011,680,450
130,Blackgram,2012,995,2722
131,Blackgram,2013,1134,3466
132,Blackgram,2014,1193,2425
133,Bottle Gourd,2002,1259,130
134,Bottle Gourd,2003,1384,468
135,Brinjal,2002,54292,351756
136,Brinjal,2003,57488,534447
137,Brinjal,2011,52,694
138,Brinjal,2012,14903,189196
139,Brinjal,2013,14425,153224
140,Brinjal,2014,14788,212855
141,Cabbage,2002,7795,143193
142,Cabbage,2003,8070,96107
143,Cabbage,2012,1459,29767
144,Cabbage,2013,1506,24706
145,Cabbage,2014,1525,18003
146,Cardamom,1997,29168,1701
147,Cardamom,1998,68739,8572
148,Cardamom,1999,65628,9599
149,Cardamom,2000,63313,11058
150,Cardamom,2001,44211,10869
151,Cardamom,2002,63691,11915
152,Cardamom,2003,68907,12591
153,Cardamom,2004,65777.87,12313.7
154,Cardamom,2005,68942,13829
155,Cardamom,2006,73404,14612
156,Cardamom,2007,65554,12010
157,Cardamom,2008,66522,13551
158,Cardamom,2009,64421,11896
159,Cardamom,2010,19081,2621
160,Cardamom,2011,32194,4127
161,Cardamom,2012,60886,12514
162,Cardamom,2013,62446,16953
163,Cardamom,2014,57984,17786
164,Carrot,2002,2630,2085
165,Carrot,2003,2242,1981
166,Cashewnut,1997,178834,93512
167,Cashewnut,1998,169743,66498
168,Cashewnut,1999,165445,86065
169,Cashewnut,2000,326562,119725
170,Cashewnut,2001,238079,104955
171,Cashewnut,2002,342328,128810
172,Cashewnut,2003,347299.5,151565.64
173,Cashewnut,2004,392434,164929
174,Cashewnut,2005,388305.5,179784.02
175,Cashewnut,2006,375398,175099.13
176,Cashewnut,2007,215302,132249
177,Cashewnut,2008,364787,178406.22
178,Cashewnut,2009,350774,176225
179,Cashewnut,2010,255319.75,130696.53
180,Cashewnut,2011,361004.21,167522.69
181,Cashewnut,2012,246463,138809
182,Cashewnut,2013,514744,238246
183,Cashewnut,2014,293700,162723
184,Cashewnut Processed,2002,57461,8121
185,Cashewnut Raw,2002,146009,98462
186,Castor seed,1997,582573,784499
187,Castor seed,1998,674400,839501
188,Castor seed,1999,788993,770181
189,Castor seed,2000,1090322,891116.4
190,Castor seed,2001,690223,644839.01
191,Castor seed,2002,582515,430160.01
192,Castor seed,2003,691831,792018
193,Castor seed,2004,761829,807308
194,Castor seed,2005,866800,946788
195,Castor seed,2006,667053,805387
196,Castor seed,2007,717429,1047088.7
197,Castor seed,2008,780678,1155978
198,Castor seed,2009,733883,1002065
199,Castor seed,2010,889033,1377113
200,Castor seed,2011,1167829,1879854
201,Castor seed,2012,907208,1564248.53
202,Castor seed,2013,279970,179516
203,Castor seed,2014,129310,72240
204,Cauliflower,2002,7831,8775
205,Cauliflower,2003,8881,9658
206,Citrus Fruit,2002,93685,382994
207,Citrus Fruit,2003,80159,496573
208,Coconut ,1997,1064229,6344142
209,Coconut ,1998,1237644,5283860454
210,Coconut ,1999,1279564,5859817270
211,Coconut ,2000,1437422,6880408908
212,Coconut ,2001,1454159,6881286542
213,Coconut ,2002,1799396,7150889367
214,Coconut ,2003,1804708.74,7355742937
215,Coconut ,2004,1839782.4,7663983742
216,Coconut ,2005,1842178.02,7453185841
217,Coconut ,2006,1847003.09,8092567153
218,Coconut ,2007,1682671,6299914140
219,Coconut ,2008,1752448,7039785652
220,Coconut ,2009,1735991,7041992679
221,Coconut ,2010,1255481.13,5596200360
222,Coconut ,2011,1810864.94,13594220064
223,Coconut ,2012,1360932,7494436866
224,Coconut ,2013,1815921,12219189405
225,Coconut ,2014,1361285,8067813334
226,Coffee,2001,84795,66690
227,Coffee,2002,83113,63322
228,Colocosia,2013,5240,49840
229,Cond-spcs other,1999,2767,2260.4
230,Coriander,1997,57930,13169
231,Coriander,1998,282419,199226
232,Coriander,1999,332855,210680
233,Coriander,2000,346681,228821
234,Coriander,2001,396757,305944
235,Coriander,2002,277552,166701.11
236,Coriander,2003,475769,383956.01
237,Coriander,2004,362921,253669
238,Coriander,2005,207063,169349
239,Coriander,2006,305794,227303
240,Coriander,2007,381979,224992.1
241,Coriander,2008,450818,366550
242,Coriander,2009,452712,390751
243,Coriander,2010,401461,306512
244,Coriander,2011,195017,89841
245,Coriander,2012,159516,95404
246,Coriander,2013,182039,114554
247,Coriander,2014,55217,27687
248,Cotton(lint),1997,5230253,10443524
249,Cotton(lint),1998,9331489,11173903
250,Cotton(lint),1999,8717476,10642915
251,Cotton(lint),2000,8550604,9156401
252,Cotton(lint),2001,9038620,9838451
253,Cotton(lint),2002,7632933,8562608.2
254,Cotton(lint),2003,7550673,13624401
255,Cotton(lint),2004,8748496,16977920
256,Cotton(lint),2005,8669295,18393175.5
257,Cotton(lint),2006,9060875,20894189
258,Cotton(lint),2007,6188044,17299210
259,Cotton(lint),2008,9337428,20782910
260,Cotton(lint),2009,9984615,20902349
261,Cotton(lint),2010,10929723,27320559
262,Cotton(lint),2011,11685196,27369109
263,Cotton(lint),2012,9530632,19770365
264,Cotton(lint),2013,8395561,20314945
265,Cotton(lint),2014,7986162,13581633
266,Cowpea(Lobia),2009,3672,2016
267,Cowpea(Lobia),2010,100769,44921
268,Cowpea(Lobia),2011,108668,57001
269,Cowpea(Lobia),2012,91754,35901
270,Cowpea(Lobia),2013,106725,54883
271,Cowpea(Lobia),2014,99184,60910
272,Cucumber,2002,5490,0
273,Cucumber,2003,7079,0
274,Drum Stick,2002,26747,23052
275,Drum Stick,2003,27447,23101
276,Drum Stick,2012,15465,14877
277,Drum Stick,2013,16356,15757
278,Drum Stick,2014,494,334
279,Dry chillies,1997,536530,618764
280,Dry chillies,1998,610821,859537
281,Dry chillies,1999,800194,934580
282,Dry chillies,2000,735060,910118
283,Dry chillies,2001,673963,933227
284,Dry chillies,2002,700259,814419.71
285,Dry chillies,2003,659096,1169570
286,Dry chillies,2004,678980,1115993
287,Dry chillies,2005,478097.7,808164.7
288,Dry chillies,2006,584710.32,1107334
289,Dry chillies,2007,578892,1135485.5
290,Dry chillies,2008,527856,1122901
291,Dry chillies,2009,396675,1061475
292,Dry chillies,2010,430337,961014
293,Dry chillies,2011,514414,1073377
294,Dry chillies,2012,304671,775737
295,Dry chillies,2013,456283,1181768
296,Dry chillies,2014,349000,1153065.3
297,Dry ginger,1997,12119,69027
298,Dry ginger,1998,40244,210460
299,Dry ginger,1999,59645,285932
300,Dry ginger,2000,69235,344812
301,Dry ginger,2001,72884,363052
302,Dry ginger,2002,73333.3,360047.1
303,Dry ginger,2003,69386,331064.6
304,Dry ginger,2004,76220,385722
305,Dry ginger,2005,68384,513899.1
306,Dry ginger,2006,77557.56,479657
307,Dry ginger,2007,71660,606377.7
308,Dry ginger,2008,87155,1167076
309,Dry ginger,2009,97500,1717319
310,Dry ginger,2010,101069.93,481720.36
311,Dry ginger,2011,68527.59,288035.36
312,Dry ginger,2012,51527,692674
313,Dry ginger,2013,56182,708261
314,Dry ginger,2014,56513,1048689.9
315,Garlic,1997,28730,146910
316,Garlic,1998,49016,262560
317,Garlic,1999,106884,440852
318,Garlic,2000,51837,155232
319,Garlic,2001,61580,230872
320,Garlic,2002,76085,258789
321,Garlic,2003,103204,512514
322,Garlic,2004,142715,625208
323,Garlic,2005,93109,462543
324,Garlic,2006,136113,657384
325,Garlic,2007,153963,808769.7
326,Garlic,2008,156330,760110
327,Garlic,2009,134949,628103
328,Garlic,2010,124884,557888
329,Garlic,2011,159693,790869
330,Garlic,2012,126239,648086
331,Garlic,2013,127342,658224.1
332,Garlic,2014,41016,206708
333,Ginger,2010,4554,38669
334,Ginger,2011,21395,170999
335,Ginger,2012,22461,187444
336,Ginger,2013,22968,185586.7
337,Ginger,2014,26991,239227
338,Gram,1997,4585523,3540892
339,Gram,1998,8235819,6723050
340,Gram,1999,6029056,4979652.5
341,Gram,2000,5186116,3857947
342,Gram,2001,6405943,5467992
343,Gram,2002,5892949.47,4228026.42
344,Gram,2003,7067229.21,5738794.98
345,Gram,2004,6636121.22,5379853
346,Gram,2005,6819569.26,5575429.67
347,Gram,2006,7625707.57,6398300
348,Gram,2007,6348748.22,4777763
349,Gram,2008,7818443,7003376.2
350,Gram,2009,7274008,6881008
351,Gram,2010,8862826,7679253.16
352,Gram,2011,6335184,6004056
353,Gram,2012,6544957,6707605
354,Gram,2013,6811890,5682559.4
355,Gram,2014,3727871,2836515
356,Grapes,2002,14427,366079
357,Grapes,2003,51583,1363200
358,Grapes,2012,270,8188
359,Grapes,2013,276,6170
360,Grapes,2014,347,7956
361,Groundnut,1997,6480853,6749962
362,Groundnut,1998,7606552,9364388
363,Groundnut,1999,7068133,5685331.1
364,Groundnut,2000,6677439,6496361.8
365,Groundnut,2001,6229875,7016074.4
366,Groundnut,2002,5927555,4113401.7
367,Groundnut,2003,5967650,8108946.4
368,Groundnut,2004,6612902,6606675
369,Groundnut,2005,6634687,7827660.4
370,Groundnut,2006,5696732,5232979.2
371,Groundnut,2007,5880765,8669302.6
372,Groundnut,2008,6085076,6382276.6
373,Groundnut,2009,5432693,5313523.1
374,Groundnut,2010,5861460.25,8191892.9
375,Groundnut,2011,4877280,6207764.3
376,Groundnut,2012,4171486,3800321.4
377,Groundnut,2013,3196574,3897524.8
378,Groundnut,2014,2276461,2047179.3
379,Groundnut,2015,51206,56161.2
380,Guar seed,1999,2980809,3745830
381,Guar seed,2000,3331472,541833
382,Guar seed,2001,2674148,935123
383,Guar seed,2002,766829,106609
384,Guar seed,2003,2582839,241967
385,Guar seed,2004,2188309,516935
386,Guar seed,2005,2658975,721007
387,Guar seed,2006,3032507,759480
388,Guar seed,2007,3108183,1375859
389,Guar seed,2008,3471323,1316055
390,Guar seed,2009,2722314,248470
391,Guar seed,2010,3126187,1632377
392,Guar seed,2011,181652,119424
393,Guar seed,2012,639853,448864
394,Guar seed,2013,39507,32381
395,Guar seed,2014,30250,22877
396,Horse-gram,1997,657910,285294
397,Horse-gram,1998,663336,279025
398,Horse-gram,1999,899385,359263
399,Horse-gram,2000,693829,296301.3
400,Horse-gram,2001,602970,255656.1
401,Horse-gram,2002,661129,204698.6
402,Horse-gram,2003,627934,208133.5
403,Horse-gram,2004,607586,232790.4
404,Horse-gram,2005,573950,237933.5
405,Horse-gram,2006,612514,224282
406,Horse-gram,2007,488831,215902.5
407,Horse-gram,2008,449099,176782.8
408,Horse-gram,2009,494902,232152.4
409,Horse-gram,2010,470891,235350.8
410,Horse-gram,2011,412474,192660.3
411,Horse-gram,2012,424369,180405
412,Horse-gram,2013,406061,212583.2
413,Horse-gram,2014,324499,152159.3
414,Horse-gram,2015,33362,9442.7
415,Jack Fruit,2002,95745,32983
416,Jack Fruit,2003,95873,27791
417,Jack Fruit,2012,89702,4998
418,Jobster,2013,1170,1180
419,Jowar,1997,10699683,7675581
420,Jowar,1998,9881864,8598276
421,Jowar,1999,10333665,8793906.2
422,Jowar,2000,9989594,7705479.2
423,Jowar,2001,9767126,7535851
424,Jowar,2002,9274286,6998443
425,Jowar,2003,9299671,6646221
426,Jowar,2004,8995096,7057701
427,Jowar,2005,3905712,3505544.7
428,Jowar,2006,8430341,6964853
429,Jowar,2007,3643847,3794240
430,Jowar,2008,7273391,6602285
431,Jowar,2009,7787823,6570684
432,Jowar,2010,7110272,6604330
433,Jowar,2011,5574474,5318182
434,Jowar,2012,5340605,4820694
435,Jowar,2013,5681984,5553532
436,Jowar,2014,4726479,3879231
437,Jute,1997,979700,9937985
438,Jute,1998,882672,8881874
439,Jute,1999,854538,9470088
440,Jute,2000,836253,9323541
441,Jute,2001,871600,10527107
442,Jute,2002,862961,10262222
443,Jute,2003,847669,10244196
444,Jute,2004,771105,9384546
445,Jute,2005,756270,9973409
446,Jute,2006,802194,10435986
447,Jute,2007,813994,10207097
448,Jute,2008,785628,9637506
449,Jute,2009,813555,11257867
450,Jute,2010,769518,10010110
451,Jute,2011,806039,10738863
452,Jute,2012,776843,9134133.1
453,Jute,2013,754528,11069811.5
454,Jute,2014,743895,11075284.4
455,Jute,2015,1204,2616.9
456,Jute & mesta,1999,2365,17955
457,Jute & mesta,2000,2784,23635
458,Jute & mesta,2001,2980,25400
459,Jute & mesta,2002,3002,23307
460,Jute & mesta,2003,2765,22018
461,Kapas,1997,967,429
462,Kapas,1998,555,429
463,Kapas,2000,7340,7684
464,Khesari,1997,25261,28460
465,Khesari,1998,23300,20850
466,Khesari,1999,184055,181971
467,Khesari,2000,447916,294629
468,Khesari,2001,606893,387013
469,Khesari,2002,504221,310959
470,Khesari,2003,629631,442358
471,Khesari,2004,602691,288213
472,Khesari,2005,590364,317439
473,Khesari,2006,605929,372464
474,Khesari,2007,611583,692716
475,Khesari,2008,564069,347476
476,Khesari,2009,488211,334635
477,Khesari,2010,512130,357411
478,Khesari,2011,499465,365993
479,Khesari,2012,478986,319236
480,Khesari,2013,455938,308818
481,Khesari,2014,431876,399336
482,Korra,1997,30000,19200
483,Korra,1998,40200,28600
484,Korra,1999,4517,2030
485,Korra,2000,32965,24496
486,Korra,2001,26148,18359
487,Korra,2002,19024,11619
488,Korra,2003,26455,19409
489,Lab-Lab,2002,1466,0
490,Lab-Lab,2003,3402,0
491,Lemon,2012,23602,177221
492,Lemon,2013,24724,190739
493,Lemon,2014,26981,173034
494,Lentil,2013,2070,1680
495,Lentil,2014,12527,9082
496,Linseed,1997,428252,159224
497,Linseed,1998,531575,200343
498,Linseed,1999,532235,213357.6
499,Linseed,2000,487509,168287.6
500,Linseed,2001,487262,191538.41
501,Linseed,2002,434837,168071.21
502,Linseed,2003,414711,169275.1
503,Linseed,2004,383243,151320
504,Linseed,2005,373510,146198
505,Linseed,2006,361001,138695
506,Linseed,2007,262332,107155.6
507,Linseed,2008,287992,122852.1
508,Linseed,2009,285882,130202
509,Linseed,2010,257083,104071
510,Linseed,2011,238100,115920
511,Linseed,2012,222334,113943
512,Linseed,2013,193846,97415.9
513,Linseed,2014,114602,58688
514,Litchi,2002,4,0
515,Litchi,2003,21,0
516,Maize,1997,5644113,9797054
517,Maize,1998,5622919,10043588
518,Maize,1999,6253374,11245483
519,Maize,2000,6557280,11977311.2
520,Maize,2001,6348801,12669599.5
521,Maize,2002,6564168.33,11022338.25
522,Maize,2003,7127699.91,14638847.57
523,Maize,2004,7258644.15,13827480.47
524,Maize,2005,6982198.36,13789798.56
525,Maize,2006,7356970.78,14251018.5
526,Maize,2007,7266855.31,17589648.6
527,Maize,2008,7433947,18335937.8
528,Maize,2009,7371903,15264392
529,Maize,2010,8056623.54,22066700.22
530,Maize,2011,6888187,19312590.4
531,Maize,2012,6188793,17257244.5
532,Maize,2013,6876092,23348441
533,Maize,2014,5853562,16782163.1
534,Maize,2015,94542,179286.9
535,Mango,2002,625854,2779266
536,Mango,2003,835165,3100202
537,Mango,2010,213,2660
538,Mango,2011,206,401
539,Mango,2012,312443,2406212
540,Mango,2013,337770,2488087
541,Mango,2014,268695,1993708
542,Masoor,1997,544987,391681
543,Masoor,1998,647759,485062
544,Masoor,1999,731933,428410
545,Masoor,2000,961727,694376.5
546,Masoor,2001,959640,731773.63
547,Masoor,2002,884669.66,670705.15
548,Masoor,2003,915364.61,805034.08
549,Masoor,2004,875454.22,494188.93
550,Masoor,2005,884456.21,511130.18
551,Masoor,2006,1464987.51,908202
552,Masoor,2007,1330943.09,805536.28
553,Masoor,2008,1350829,940467
554,Masoor,2009,1426535,1009101
555,Masoor,2010,1618613,902033
556,Masoor,2011,1453770,974870
557,Masoor,2012,1290496,1018162
558,Masoor,2013,1209548,926025
559,Masoor,2014,724168,482330.1
560,Mesta,1997,125033,830152
561,Mesta,1998,110748,803250
562,Mesta,1999,77350,433271
563,Mesta,2000,160018,1175786
564,Mesta,2001,119488,919744
565,Mesta,2002,123232,859302
566,Mesta,2003,108804,773326
567,Mesta,2004,92520,724842
568,Mesta,2005,88549,782596
569,Mesta,2006,103858,852457
570,Mesta,2007,100889,847274
571,Mesta,2008,76724,608957
572,Mesta,2009,60846,447350
573,Mesta,2010,63594,506775
574,Mesta,2011,64894,572145
575,Mesta,2012,52572,311629
576,Mesta,2013,47172,509601
577,Mesta,2014,45074,441154
578,Moong(Green Gram),1997,1531709,574384
579,Moong(Green Gram),1998,2774409,1015877
580,Moong(Green Gram),1999,3101550,1200978
581,Moong(Green Gram),2000,2975229,1027984.1
582,Moong(Green Gram),2001,2808894.27,964461.2
583,Moong(Green Gram),2002,2942257,867704.7
584,Moong(Green Gram),2003,3442463,1661585.8
585,Moong(Green Gram),2004,3187041,1004366.2
586,Moong(Green Gram),2005,3039036,951125.1
587,Moong(Green Gram),2006,3062127,1064087.9
588,Moong(Green Gram),2007,2967021,1126935.2
589,Moong(Green Gram),2008,2738113,1003044.1
590,Moong(Green Gram),2009,3002613,647575.8
591,Moong(Green Gram),2010,3506873,1799203.7
592,Moong(Green Gram),2011,2097197,1011232.4
593,Moong(Green Gram),2012,1630416,739653.7
594,Moong(Green Gram),2013,1986004,985872.6
595,Moong(Green Gram),2014,1489468,647577.8
596,Moong(Green Gram),2015,289786,85222.5
597,Moth,1997,48716,24216
598,Moth,1998,921733,124833
599,Moth,1999,797795,33312
600,Moth,2000,1005907,147795
601,Moth,2001,1349749,324739.6
602,Moth,2002,492939,35686
603,Moth,2003,1550418,819454
604,Moth,2004,1488276,206746
605,Moth,2005,1277327,176189
606,Moth,2006,1197300,206256
607,Moth,2007,1304312,423364
608,Moth,2008,1271309,338555
609,Moth,2009,1324793,49149
610,Moth,2010,1621712,789848
611,Moth,2011,48183,25444
612,Moth,2012,14711,5630
