,Crop,Crop_Year,Area,Production
613,Moth,2013,42,381
614,Moth,2014,53,30
615,Niger seed,1997,16810,8841
616,Niger seed,1998,127482,35857
617,Niger seed,1999,403418,115283
618,Niger seed,2000,479240,106100
619,Niger seed,2001,553957,198162.06
620,Niger seed,2002,407384,84942.04
621,Niger seed,2003,423280,108247
622,Niger seed,2004,414672,110985
623,Niger seed,2005,294986,73027
624,Niger seed,2006,291627,69278
625,Niger seed,2007,217116,55615
626,Niger seed,2008,259498,67549
627,Niger seed,2009,242010,57945
628,Niger seed,2010,240962,58845
629,Niger seed,2011,262029,59593.9
630,Niger seed,2012,215159,64562
631,Niger seed,2013,206519,66434
632,Niger seed,2014,109517,29652
633,Oilseeds total,1997,51751377,39245384
634,Oilseeds total,1998,2930288,3871002
635,Oilseeds total,1999,33883,31398
636,Oilseeds total,2000,32561,31759
637,Oilseeds total,2001,40820,37164
638,Oilseeds total,2002,39497,36341
639,Oilseeds total,2003,34753,31224
640,Oilseeds total,2004,27139,26281
641,Oilseeds total,2005,27566,23695
642,Oilseeds total,2006,32160,29265
643,Oilseeds total,2007,30749,28568
644,Oilseeds total,2008,31785,31016
645,Oilseeds total,2009,121468,215842
646,Oilseeds total,2010,31854,29251
647,Oilseeds total,2011,32500,33000
648,Oilseeds total,2012,32767,31285
649,Oilseeds total,2013,33114,31635
650,Oilseeds total,2014,102300,103450
651,Onion,1997,134777,1551843
652,Onion,1998,256728,2911480
653,Onion,1999,370109,3597628
654,Onion,2000,288672,2487445
655,Onion,2001,285616,2878134
656,Onion,2002,337575,3245248
657,Onion,2003,481862.98,5673147.87
658,Onion,2004,396832.19,4503541.14
659,Onion,2005,437049.12,5597161.99
660,Onion,2006,375943.72,4203156
661,Onion,2007,456683.96,5678512.3
662,Onion,2008,382183,4535587.5
663,Onion,2009,432348,4339183
664,Onion,2010,411573,5497540
665,Onion,2011,427636,6067070
666,Onion,2012,238740,3274637
667,Onion,2013,324570,4096647.4
668,Onion,2014,269613,2325083
669,Orange,2002,59219,802476
670,Orange,2003,83165,793030
671,Orange,2011,14938,172501
672,Orange,2012,16449,179637
673,Orange,2013,15669,188781
674,Orange,2014,15761,202378
675,Other  Rabi pulses,1997,247790,151786
676,Other  Rabi pulses,1998,829405,605529
677,Other  Rabi pulses,1999,1135582,598082
678,Other  Rabi pulses,2000,1000756,438016
679,Other  Rabi pulses,2001,1084289,535351
680,Other  Rabi pulses,2002,1015574,432310
681,Other  Rabi pulses,2003,961188,474658
682,Other  Rabi pulses,2004,295668,163655
683,Other  Rabi pulses,2005,180677,106286
684,Other  Rabi pulses,2006,535121,480178
685,Other  Rabi pulses,2007,417354,360721.2
686,Other  Rabi pulses,2008,74660,48187.4
687,Other  Rabi pulses,2009,84622,58771
688,Other  Rabi pulses,2010,69217,53053
689,Other  Rabi pulses,2011,181354,94270
690,Other  Rabi pulses,2012,170828,82075
691,Other  Rabi pulses,2013,148629,79726.8
692,Other  Rabi pulses,2014,144381,76521
693,Other Cereals & Millets,1998,155200,101414
694,Other Cereals & Millets,1999,11400,3300
695,Other Cereals & Millets,2000,106777,82681
696,Other Cereals & Millets,2001,8624,3387
697,Other Cereals & Millets,2002,9325,2968
698,Other Cereals & Millets,2003,78377,88032
699,Other Cereals & Millets,2004,187189,148128
700,Other Cereals & Millets,2005,111910,110068.5
701,Other Cereals & Millets,2006,65362,73928
702,Other Cereals & Millets,2007,144682,169400.1
703,Other Cereals & Millets,2008,121971,138030
704,Other Cereals & Millets,2009,50231,40994
705,Other Cereals & Millets,2010,108567,123624
706,Other Cereals & Millets,2011,69777,63869
707,Other Cereals & Millets,2012,46931,42032
708,Other Cereals & Millets,2014,2331,1330.1
709,Other Citrus Fruit,2002,1605,0
710,Other Citrus Fruit,2003,2650,0
711,Other Dry Fruit,2003,7,0
712,Other Fresh Fruits,2002,131161,148029
713,Other Fresh Fruits,2003,136833,161771
714,Other Fresh Fruits,2013,3839,41039
715,Other Fresh Fruits,2014,4566,48604
716,Other Kharif pulses,1997,94654,72625
717,Other Kharif pulses,1998,478167,199466
718,Other Kharif pulses,1999,1130963,330198
719,Other Kharif pulses,2000,1496118,426234
720,Other Kharif pulses,2001,1124130,379980
721,Other Kharif pulses,2002,1308053,352858
722,Other Kharif pulses,2003,1323142,482706
723,Other Kharif pulses,2004,674731,230165.18
724,Other Kharif pulses,2005,447416,154571.4
725,Other Kharif pulses,2006,929953,518891
726,Other Kharif pulses,2007,356284,207445.2
727,Other Kharif pulses,2008,311119,202346
728,Other Kharif pulses,2009,300488,140227
729,Other Kharif pulses,2010,278997,186229
730,Other Kharif pulses,2011,230477,144326
731,Other Kharif pulses,2012,195442,113955
732,Other Kharif pulses,2013,218716,128927
733,Other Kharif pulses,2014,180837,115282.6
734,Other Kharif pulses,2015,2766,2698
735,Other Vegetables,2002,231375,437509
736,Other Vegetables,2003,231644,363782
737,Other Vegetables,2013,7004,79920
738,Other Vegetables,2014,7188,82001
739,Paddy,1997,7885677,12551503
740,Paddy,2011,2545707,4715678
741,Paddy,2012,2099147,3981629
742,Paddy,2013,2510641,5230946
743,Paddy,2014,2495297,5222645
744,Papaya,2002,35824,1006439
745,Papaya,2003,33406,649121
746,Papaya,2011,7321,145451
747,Papaya,2012,30305,939491
748,Papaya,2013,12763,604168
749,Papaya,2014,13425,577851
750,Peach,2002,19,0
751,Peach,2003,23,0
752,Pear,2002,1296,0
753,Pear,2003,1380,0
754,Peas  (vegetable),2002,92,0
755,Peas  (vegetable),2003,76,0
756,Peas & beans (Pulses),1997,425240,494650
757,Peas & beans (Pulses),1998,532272,596421
758,Peas & beans (Pulses),1999,463003,628611
759,Peas & beans (Pulses),2000,409637,427855
760,Peas & beans (Pulses),2001,443508.4,541333.94
761,Peas & beans (Pulses),2002,444059,513287
762,Peas & beans (Pulses),2003,512948,649867
763,Peas & beans (Pulses),2004,109296,80705
764,Peas & beans (Pulses),2005,339018,256761.3
765,Peas & beans (Pulses),2006,305956,198602
766,Peas & beans (Pulses),2007,276401,168377.7
767,Peas & beans (Pulses),2008,672458,632822.3
768,Peas & beans (Pulses),2009,591511,564469
769,Peas & beans (Pulses),2010,656383,584835
770,Peas & beans (Pulses),2011,674200,704653
771,Peas & beans (Pulses),2012,613676,672334
772,Peas & beans (Pulses),2013,673783,638917.3
773,Peas & beans (Pulses),2014,529639,425942.7
774,Perilla,2013,2350,1410
775,Pineapple,2002,45797,504690
776,Pineapple,2003,46796,510517
777,Pineapple,2011,14158,223624
778,Pineapple,2012,22732,307230
779,Pineapple,2013,16831,293496
780,Pineapple,2014,16446,288037
781,Plums,2002,378,0
782,Plums,2003,431,0
783,Pome Fruit,2002,28973,212912
784,Pome Fruit,2003,27229,268428
785,Pome Granet,2002,651,0
786,Pome Granet,2003,514,0
787,Pome Granet,2012,1441,19843
788,Pome Granet,2013,1629,26306
789,Pome Granet,2014,1948,20185
790,Potato,1997,941622,14095119
791,Potato,1998,1086040,20042976
792,Potato,1999,1147954,21777579
793,Potato,2000,1074286,20333597.9
794,Potato,2001,1106407,22344741.3
795,Potato,2002,1276980.15,22214426.06
796,Potato,2003,1235626.41,22304309.16
797,Potato,2004,1234377.38,21971368.94
798,Potato,2005,1305876.54,22600761.1
799,Potato,2006,1257863.98,19565475.7
800,Potato,2007,1444313.21,26644999.1
801,Potato,2008,1434673,19579184.5
802,Potato,2009,1249453,30880608.8
803,Potato,2010,1339266,31096825.6
804,Potato,2011,1317160,26839202.1
805,Potato,2012,1295583,29817475.3
806,Potato,2013,1275238,23965707
807,Potato,2014,1204521,28700822.7
808,Potato,2015,5626,57233.6
809,Pulses total,1997,20720328,14410879
810,Pulses total,1998,1865422,1119887
811,Pulses total,1999,6554,6634
812,Pulses total,2000,6202,6780
813,Pulses total,2001,6766,7126
814,Pulses total,2002,6801,7239
815,Pulses total,2003,7129,7719
816,Pulses total,2014,132862,109090
817,Pump Kin,2002,890,0
818,Pump Kin,2003,965,0
819,Pump Kin,2012,1238,4998
820,Pump Kin,2013,1219,4998
821,Pump Kin,2014,1373,4998
822,Ragi,1997,1445741,1838314
823,Ragi,1998,1596226,2471499
824,Ragi,1999,1600366,2182808.2
825,Ragi,2000,1724865,2637067.7
826,Ragi,2001,1587159,2326220.8
827,Ragi,2002,1393075.73,1306301.8
828,Ragi,2003,1676354.3,1889760.93
829,Ragi,2004,1505366.16,2289918.27
830,Ragi,2005,1512249.26,2280181.68
831,Ragi,2006,1194891.89,1296905.2
832,Ragi,2007,1264903.12,1908497.1
833,Ragi,2008,1350789,1847869.2
834,Ragi,2009,1235229,1738835.9
835,Ragi,2010,1264421,2088198.8
836,Ragi,2011,1147450,1781932.1
837,Ragi,2012,1094336,1537400.4
838,Ragi,2013,1149790,2025566.88
839,Ragi,2014,1040332.5,1666150.2
840,Ragi,2015,45693,28326
841,Rajmash Kholar,2013,14840,18590
842,Rapeseed &Mustard,1997,5360928,3795722
843,Rapeseed &Mustard,1998,5298300,4988246
844,Rapeseed &Mustard,1999,5624495,5314819.1
845,Rapeseed &Mustard,2000,3982362,3699286.4
846,Rapeseed &Mustard,2001,4720478,4732680
847,Rapeseed &Mustard,2002,4232075.34,3596766.78
848,Rapeseed &Mustard,2003,5068743,5963477.47
849,Rapeseed &Mustard,2004,7048705.26,7247740.29
850,Rapeseed &Mustard,2005,7024254.03,7897300.09
851,Rapeseed &Mustard,2006,6471393.5,7085828.1
852,Rapeseed &Mustard,2007,5511552.9,5537709.91
853,Rapeseed &Mustard,2008,5910636,6914693.7
854,Rapeseed &Mustard,2009,4755605,5546908.4
855,Rapeseed &Mustard,2010,5482169,7526176.68
856,Rapeseed &Mustard,2011,2970870,3371045.2
857,Rapeseed &Mustard,2012,3114681,4029800.7
858,Rapeseed &Mustard,2013,2393736,2262417.7
859,Rapeseed &Mustard,2014,1598688,1375093.7
860,Rapeseed &Mustard,2015,10966,4616.6
861,Redish,2002,1113,2059
862,Redish,2003,862,1877
863,Ribed Guard,2002,376,0
864,Ribed Guard,2003,338,0
865,Rice,1997,30706467,65848504
866,Rice,1998,38716952,78761219
867,Rice,1999,37058642,77917065.6
868,Rice,2000,43190618,83093055.8
869,Rice,2001,42745829,90057868
870,Rice,2002,40795160.29,71453399.67
871,Rice,2003,43181631.06,87836686.97
872,Rice,2004,42664665.23,84172521.28
873,Rice,2005,43519563.58,89587185.75
874,Rice,2006,43266797.59,91677358.34
875,Rice,2007,42026154.31,92065881
876,Rice,2008,43597987,95261986.07
877,Rice,2009,40583697,87357055.31
878,Rice,2010,41766900.5,95177278.1
879,Rice,2011,42011893.74,102094254.5
880,Rice,2012,47765615,100331195
881,Rice,2013,40485966,102873126
882,Rice,2014,39088073,104018553
883,Rice,2015,3952669,5894044
884,Ricebean (nagadal),2013,4710,5230
885,Rubber,2001,475039,580350
886,Rubber,2002,476047,594917
887,Rubber,2003,50,50
888,Safflower,1997,11223,3266
889,Safflower,1998,419491,235417
890,Safflower,1999,438801,259508
891,Safflower,2000,408529,202519.4
892,Safflower,2001,403461,220531.04
893,Safflower,2002,369442,180316.04
894,Safflower,2003,365297,137537
895,Safflower,2004,369964,180552
896,Safflower,2005,363053,229768
897,Safflower,2006,375524,239173
898,Safflower,2007,74452,62679
899,Safflower,2008,273426,172759
900,Safflower,2009,272143,167823
901,Safflower,2010,242802,152742
902,Safflower,2011,197406,113768
903,Safflower,2012,154980,89773
904,Safflower,2013,180401,125660
905,Safflower,2014,113664,58025
906,Samai,1997,29500,12700
907,Samai,1998,28400,14300
908,Samai,1999,58471,48503
909,Samai,2000,32155,14135
910,Samai,2001,30346,14953
911,Samai,2002,42919,31032
912,Samai,2003,23470,9552
913,Sannhamp,1997,4410,10448
914,Sannhamp,1998,20610,23481
915,Sannhamp,1999,29928,66267
916,Sannhamp,2000,35778,70197
917,Sannhamp,2001,16103,21922
918,Sannhamp,2002,23974,29408
919,Sannhamp,2003,18584,25792.1
920,Sannhamp,2004,13072,20174
921,Sannhamp,2005,12791,18977.8
922,Sannhamp,2006,11200,18526
923,Sannhamp,2007,15395,33816.49
924,Sannhamp,2008,14736,29644.67
925,Sannhamp,2009,12581,14468
926,Sannhamp,2010,9221,19632
927,Sannhamp,2011,7779,14514
928,Sannhamp,2012,9017,13033
929,Sannhamp,2013,13834,15836
930,Sannhamp,2014,5762,6448.1
931,Sapota,2012,9192,121345
932,Sapota,2013,9168,85585
933,Sapota,2014,8785,73497
934,Sesamum,1997,1277400,463072
935,Sesamum,1998,1554706,539488
936,Sesamum,1999,1675656,549718.6
937,Sesamum,2000,1682869,530114.7
938,Sesamum,2001,1594463,677589.6
939,Sesamum,2002,1357650,424275.9
940,Sesamum,2003,1655445,765167.1
941,Sesamum,2004,1865119,676048.3
942,Sesamum,2005,1746113,662306.2
943,Sesamum,2006,1665030,671358.9
944,Sesamum,2007,1674171,749850.7
945,Sesamum,2008,1753051,637176.7
946,Sesamum,2009,2042179,641009.7
947,Sesamum,2010,2091602.81,900381.3
948,Sesamum,2011,1400125.56,645793.05
949,Sesamum,2012,1155228,696684.5
950,Sesamum,2013,1048100,467962.7
951,Sesamum,2014,840220,387218.31
952,Sesamum,2015,20026,4139.6
953,Small millets,1997,701769,248320
954,Small millets,1998,834228,329173
955,Small millets,1999,325825,178131
956,Small millets,2000,1324484,495343.9
957,Small millets,2001,1211525,506970.1
958,Small millets,2002,1282240,381795.6
959,Small millets,2003,1052634,423802
960,Small millets,2004,880250,327685
961,Small millets,2005,532920,230105
962,Small millets,2006,822914,387175
963,Small millets,2007,454842,241766
964,Small millets,2008,664951,250332
965,Small millets,2009,663885,266236
966,Small millets,2010,554661,221292
967,Small millets,2011,609876,314183
968,Small millets,2012,533160,293590
969,Small millets,2013,530610,365508
970,Small millets,2014,275852,187120
971,Small millets,2015,2853,2911
972,Snak Guard,2002,1614,0
973,Snak Guard,2003,1641,0
974,Soyabean,1997,4949711,5475933
975,Soyabean,1998,6399446,7081851
976,Soyabean,1999,5959717,6819977
977,Soyabean,2000,6380376,5253274
978,Soyabean,2001,6301951,5921466
979,Soyabean,2002,6068435,4584567
980,Soyabean,2003,6516934,7788019
981,Soyabean,2004,7632991,6855337
982,Soyabean,2005,7994672,8557124
983,Soyabean,2006,8199577,8817503
984,Soyabean,2007,6242549,6697563
985,Soyabean,2008,9581407,8991049
986,Soyabean,2009,9705469,9871271
987,Soyabean,2010,9558319,12316413
988,Soyabean,2011,9306315,11051812
989,Soyabean,2012,9608817,13517111
990,Soyabean,2013,10701259,9828734
991,Soyabean,2014,4339559,2416092.4
992,Soyabean,2015,3278,3190
993,Sugarcane,1997,3482848,501229055
994,Sugarcane,1998,3669822,259810181
995,Sugarcane,1999,4126394,294092445.8
996,Sugarcane,2000,4328515,296118368.3
997,Sugarcane,2001,4403618,296512607.1
998,Sugarcane,2002,4501972,287091582.2
999,Sugarcane,2003,4001206.45,239790705.5
1000,Sugarcane,2004,3507513.23,229909938.9
1001,Sugarcane,2005,4218182.7,285762294.5
1002,Sugarcane,2006,3808609.89,268743702.6
1003,Sugarcane,2007,3857623.83,254061704.7
1004,Sugarcane,2008,5082080,341184112.7
1005,Sugarcane,2009,4091094,287931380.1
1006,Sugarcane,2010,4795159.14,336535125.9
1007,Sugarcane,2011,4696892.41,345400114.3
1008,Sugarcane,2012,4927290,335501947.9
1009,Sugarcane,2013,4721055.29,346861935.2
1010,Sugarcane,2014,4447146.06,328600725.1
1011,Sugarcane,2015,8962,577157.2
1012,Sunflower,1997,451275,248182
1013,Sunflower,1998,1710677,776285
1014,Sunflower,1999,1052960,541158
1015,Sunflower,2000,1052695,616836.2
1016,Sunflower,2001,1168503,666612.01
1017,Sunflower,2002,1626833,846058.04
1018,Sunflower,2003,1993856,920507
1019,Sunflower,2004,2479664,1299552
1020,Sunflower,2005,2314821,1291281
1021,Sunflower,2006,2128743,1047183
1022,Sunflower,2007,1567176,1097023
1023,Sunflower,2008,1756123,999618
1024,Sunflower,2009,1422592,720442
1025,Sunflower,2010,889231.9,562064.4
1026,Sunflower,2011,690076,420360
1027,Sunflower,2012,762951,453931
1028,Sunflower,2013,647158,447432
1029,Sunflower,2014,532812,339971
1030,Sweet potato,1997,23938,174563
1031,Sweet potato,1998,27408,179468
1032,Sweet potato,1999,75069,572213
1033,Sweet potato,2000,67660,474245
1034,Sweet potato,2001,67062,488542
1035,Sweet potato,2002,79382,597144
1036,Sweet potato,2003,80002,610225
1037,Sweet potato,2004,108673,892276
1038,Sweet potato,2005,52365.9,498813.35
1039,Sweet potato,2006,46092.4,407309
1040,Sweet potato,2007,42611,413072
1041,Sweet potato,2008,45676,411853
1042,Sweet potato,2009,39874,348861
1043,Sweet potato,2010,38264,306305
1044,Sweet potato,2011,40367,362176
1045,Sweet potato,2012,40839,379091
1046,Sweet potato,2013,42335,402989
1047,Sweet potato,2014,36217,356001
1048,Tapioca,1997,243461,6770940
1049,Tapioca,1998,199046,5596386
1050,Tapioca,1999,217396,6010718
1051,Tapioca,2000,254337,6825440
1052,Tapioca,2001,136529,2653607
1053,Tapioca,2002,194031,4698211
1054,Tapioca,2003,217629,5925673
1055,Tapioca,2004,224330,7140169
1056,Tapioca,2005,241103.5,7595507
1057,Tapioca,2006,254671.03,8420099
1058,Tapioca,2007,228467,8514920
1059,Tapioca,2008,238377,7544948
1060,Tapioca,2009,216081,6841154
1061,Tapioca,2010,96568.1,2590854.66
1062,Tapioca,2011,203534.84,6748804.64
1063,Tapioca,2012,93104,2787195
1064,Tapioca,2013,173164,5281102
1065,Tapioca,2014,87248,3062191
1066,Tea,1999,58,62
1067,Tea,2000,620,2670
1068,Tea,2001,37314,68890
1069,Tea,2002,37818,57889.3
1070,Tea,2003,1000,3020
1071,Tea,2007,1000,3450
1072,Tobacco,1997,348858,422417
1073,Tobacco,1998,342272,579662
1074,Tobacco,1999,379600,552110
1075,Tobacco,2000,249139,328553
1076,Tobacco,2001,265138,477000.01
1077,Tobacco,2002,327680,525079.11
1078,Tobacco,2003,357508,568549.2
1079,Tobacco,2004,353180,521657
1080,Tobacco,2005,357226,534524.3
1081,Tobacco,2006,331565,480004
1082,Tobacco,2007,337257,492637
1083,Tobacco,2008,372371,603306
1084,Tobacco,2009,499511,838899
1085,Tobacco,2010,482107,870495
1086,Tobacco,2011,460424,825138
1087,Tobacco,2012,408595,706166
1088,Tobacco,2013,314214,576718
1089,Tobacco,2014,296838,615020.4
1090,Tomato,2002,146457,1015497
1091,Tomato,2003,185651,1363827
1092,Tomato,2012,37067,625411
1093,Tomato,2013,37441,889385
1094,Tomato,2014,38191,830864
1095,Total foodgrain,1997,18974254,38843779
1096,Total foodgrain,1998,4584784,1201048
1097,Total foodgrain,2014,1750762,3225930
1098,Turmeric,1997,49377,175614
1099,Turmeric,1998,59947,202331
1100,Turmeric,1999,98372,292795
1101,Turmeric,2000,174698,684142
1102,Turmeric,2001,131093,401082
1103,Turmeric,2002,691195,843763.02
1104,Turmeric,2003,139154,525885
1105,Turmeric,2004,146455,670866
1106,Turmeric,2005,137184.7,759634.1
1107,Turmeric,2006,138419.5,688947.03
1108,Turmeric,2007,79276,314503.3
1109,Turmeric,2008,146185,718695
1110,Turmeric,2009,130762,649858
1111,Turmeric,2010,106831.78,575360.39
1112,Turmeric,2011,200418.45,1059143.54
1113,Turmeric,2012,64794,295269
1114,Turmeric,2013,139703,634554.7
1115,Turmeric,2014,99138,485938.4
1116,Turnip,2002,348,145
1117,Turnip,2003,454,218
1118,Urad,1997,2005681,879739
1119,Urad,1998,2291659,1144378
1120,Urad,1999,3182852,1433620
1121,Urad,2000,2731536,1251760.8
1122,Urad,2001,2810786,1304392.66
1123,Urad,2002,2944890,1278045.9
1124,Urad,2003,3379954,1429366.9
1125,Urad,2004,2512359,1037887.1
1126,Urad,2005,2343892,985182.8
1127,Urad,2006,2456072,1127842.2
1128,Urad,2007,2626497,1118673
1129,Urad,2008,2601605,1142903.6
1130,Urad,2009,2875625,1185061.9
1131,Urad,2010,3125827,1682164.8
1132,Urad,2011,2952470,1606942.4
1133,Urad,2012,2717142,1555734.6
1134,Urad,2013,2591446,1443459.1
1135,Urad,2014,1348203,826252.8
1136,Urad,2015,77222,27063.1
1137,Varagu,1997,2500,1600
1138,Varagu,1998,1700,1500
1139,Varagu,1999,19937,22576
1140,Varagu,2000,1609,1216
1141,Varagu,2001,807,671
1142,Varagu,2002,16177,16789
1143,Varagu,2003,5036,5342
1144,Water Melon,2002,4311,0
1145,Water Melon,2003,8000,0
1146,Wheat,1997,25640826,63831633
1147,Wheat,1998,26628290,69699436
1148,Wheat,1999,26734280,75068369
1149,Wheat,2000,25626459,69487129.9
1150,Wheat,2001,26294089,72649302.9
1151,Wheat,2002,25196951.69,65760625.34
1152,Wheat,2003,26824291.7,72780554.81
1153,Wheat,2004,26786879.58,69568860.35
1154,Wheat,2005,26208838.23,67305067.7
1155,Wheat,2006,27915096.04,77297177.3
1156,Wheat,2007,27025547.72,77599127.9
1157,Wheat,2008,27772106,81590346
1158,Wheat,2009,27774123,80194411.4
1159,Wheat,2010,29837101,93043112
1160,Wheat,2011,26471124,91786261.7
1161,Wheat,2012,26406568,88022478.4
1162,Wheat,2013,23979599,75099453.6
1163,Wheat,2014,17590692,42048966.1
1164,Wheat,2015,690,840.4
1165,Yam,2002,910,0
1166,Yam,2003,865,0
1167,other fibres,2002,6445,0
1168,other fibres,2003,6193,0
1169,other misc. pulses,2000,12206,3032
1170,other misc. pulses,2003,18637,6672.22
1171,other oilseeds,1998,7420,7731
1172,other oilseeds,2000,1078,793
1173,other oilseeds,2001,238,483
1174,other oilseeds,2002,18945.1,17832.31
1175,other oilseeds,2003,344171.29,323564.81
1176,other oilseeds,2004,12828.3,5600.61
1177,other oilseeds,2005,1623.55,857.8
1178,other oilseeds,2006,6001.62,6212.38
1179,other oilseeds,2007,44947,11607.2
1180,other oilseeds,2008,106128,39958.7
1181,other oilseeds,2009,102865,39609
1182,other oilseeds,2010,1300390,524730
1183,other oilseeds,2011,126563,1094233
1184,other oilseeds,2012,847,740
1185,other oilseeds,2013,110748,1309777
1186,other oilseeds,2014,65021,1400102
